Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Percentage of below 18,Percentage of above 65,Percentage of non white pop,Percentage of less than HS,Percentage of unemployment,MHI,Population Density (Per Sq. Mile)
06037408624,Census Tract 4086.24,"Census Tract 4086.24, Los Angeles County, California",06,037,408624,,14000US06037408624,0.16,0.21,0.76,0.1,0.03,89107,5563.997
06037408625,Census Tract 4086.25,"Census Tract 4086.25, Los Angeles County, California",06,037,408625,,14000US06037408625,0.23,0.19,0.67,0.1,0.03,87632,5102.322
06037408626,Census Tract 4086.26,"Census Tract 4086.26, Los Angeles County, California",06,037,408626,,14000US06037408626,0.16,0.2,0.8,0.11,0.04,81379,4209.238
06037408627,Census Tract 4086.27,"Census Tract 4086.27, Los Angeles County, California",06,037,408627,,14000US06037408627,0.14,0.25,0.79,0.1,0.02,104141,2488.232
06037408628,Census Tract 4086.28,"Census Tract 4086.28, Los Angeles County, California",06,037,408628,,14000US06037408628,0.16,0.24,0.79,0.06,0.04,67029,5449.302
06037408629,Census Tract 4086.29,"Census Tract 4086.29, Los Angeles County, California",06,037,408629,,14000US06037408629,0.19,0.21,0.72,0.09,0.04,96786,4438.484
06037408630,Census Tract 4086.30,"Census Tract 4086.30, Los Angeles County, California",06,037,408630,,14000US06037408630,0.23,0.14,0.41,0.28,0.02,83793,9476.998
06037408631,Census Tract 4086.31,"Census Tract 4086.31, Los Angeles County, California",06,037,408631,,14000US06037408631,0.2,0.13,0.61,0.19,0.05,80417,9085.47
06037408703,Census Tract 4087.03,"Census Tract 4087.03, Los Angeles County, California",06,037,408703,,14000US06037408703,0.16,0.17,0.87,0.09,0.05,124643,992.2933
06037408704,Census Tract 4087.04,"Census Tract 4087.04, Los Angeles County, California",06,037,408704,,14000US06037408704,0.17,0.28,0.8,0.22,0.04,58281,7494.104
06037408705,Census Tract 4087.05,"Census Tract 4087.05, Los Angeles County, California",06,037,408705,,14000US06037408705,0.18,0.19,0.77,0.11,0.07,72656,7559.919
06037408706,Census Tract 4087.06,"Census Tract 4087.06, Los Angeles County, California",06,037,408706,,14000US06037408706,0.15,0.22,0.79,0.07,0.08,120341,3642.514
06037408722,Census Tract 4087.22,"Census Tract 4087.22, Los Angeles County, California",06,037,408722,,14000US06037408722,0.15,0.16,0.72,0.12,0.06,90962,5305.245
06037408723,Census Tract 4087.23,"Census Tract 4087.23, Los Angeles County, California",06,037,408723,,14000US06037408723,0.16,0.18,0.78,0.22,0.07,70109,9593.755
06037408724,Census Tract 4087.24,"Census Tract 4087.24, Los Angeles County, California",06,037,408724,,14000US06037408724,0.33,0.05,0.85,0.21,0.09,41486,26900.42
06037408800,Census Tract 4088,"Census Tract 4088, Los Angeles County, California",06,037,408800,,14000US06037408800,0.19,0.06,0.53,0.26,0.11,46635,6341.547
06037430002,Census Tract 4300.02,"Census Tract 4300.02, Los Angeles County, California",06,037,430002,,14000US06037430002,0.18,0.19,0.39,0.14,0.08,73218,7862.327
06037430003,Census Tract 4300.03,"Census Tract 4300.03, Los Angeles County, California",06,037,430003,,14000US06037430003,0.15,0.19,0.42,0.05,0.09,117543,1078.018
06037430101,Census Tract 4301.01,"Census Tract 4301.01, Los Angeles County, California",06,037,430101,,14000US06037430101,0.21,0.24,0.38,0.17,0.05,47031,7012.476
06037430102,Census Tract 4301.02,"Census Tract 4301.02, Los Angeles County, California",06,037,430102,,14000US06037430102,0.16,0.16,0.52,0.3,0.05,67425,9373.783
06037430200,Census Tract 4302,"Census Tract 4302, Los Angeles County, California",06,037,430200,,14000US06037430200,0.14,0.36,0.37,0.07,0.02,95417,515.0426
06037430301,Census Tract 4303.01,"Census Tract 4303.01, Los Angeles County, California",06,037,430301,,14000US06037430301,0.17,0.22,0.23,0.05,0.03,128854,458.9473
06037430302,Census Tract 4303.02,"Census Tract 4303.02, Los Angeles County, California",06,037,430302,,14000US06037430302,0.19,0.17,0.34,0.06,0.01,80586,7137.564
06037430400,Census Tract 4304,"Census Tract 4304, Los Angeles County, California",06,037,430400,,14000US06037430400,0.24,0.22,0.68,0.05,0.03,128298,3344.098
06037430501,Census Tract 4305.01,"Census Tract 4305.01, Los Angeles County, California",06,037,430501,,14000US06037430501,0.17,0.28,0.28,0,0.06,120469,2218.857
06037430502,Census Tract 4305.02,"Census Tract 4305.02, Los Angeles County, California",06,037,430502,,14000US06037430502,0.19,0.2,0.17,0.02,0.08,81866,6074.307
06037430600,Census Tract 4306,"Census Tract 4306, Los Angeles County, California",06,037,430600,,14000US06037430600,0.23,0.21,0.66,0.06,0.06,148750,3179.349
06037430701,Census Tract 4307.01,"Census Tract 4307.01, Los Angeles County, California",06,037,430701,,14000US06037430701,0.24,0.16,0.59,0.03,0.03,92500,5084.64
06037430721,Census Tract 4307.21,"Census Tract 4307.21, Los Angeles County, California",06,037,430721,,14000US06037430721,0.25,0.2,0.62,0.1,0.05,93114,2519.664
06037430723,Census Tract 4307.23,"Census Tract 4307.23, Los Angeles County, California",06,037,430723,,14000US06037430723,0.27,0.1,0.68,0.04,0.04,75891,23243.09
06037430724,Census Tract 4307.24,"Census Tract 4307.24, Los Angeles County, California",06,037,430724,,14000US06037430724,0.21,0.14,0.77,0.1,0.08,69215,21093.92
