RTE,DIST,City,County,State,Country,DESCRIPTION,TOTAL VEHICLE AADT,TOTAL TRUCK COUNTS,PERCENTAGE
210,07,LA,Los Angeles County,CA,USA,"CLAREMONT, BASELINE RD INTERCHANGE",178000,11000,6.18
213,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, 25TH ST",30500,522,1.71
213,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 1",20900,623,2.98
213,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 1",31500,643,2.04
213,07,LA,Los Angeles County,CA,USA,CARSON ST,31500,1197,3.8
405,07,LA,Los Angeles County,CA,USA,"CARSON, JCT. RTE. 110",274000,9974,3.64
405,07,LA,Los Angeles County,CA,USA,"CARSON, JCT. RTE. 110",272000,11642,4.28
405,07,LA,Los Angeles County,CA,USA,"LAWNDALE, HAWTHORNE BLVD INTERCHANGE",256000,9318,3.64
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE 105",326000,9650,2.96
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE 105",252000,9173,3.64
405,07,LA,Los Angeles County,CA,USA,"CULVER CITY, JCT. RTE. 90, JEFFERSON BLVD INTERCHANGE",316000,8848,2.8
405,07,LA,Los Angeles County,CA,USA,"CULVER CITY, JCT. RTE. 90,  JEFFERSON BLVD INTERCHANGE",309000,9146,2.96
405,07,LA,Los Angeles County,CA,USA,"CULVER CITY, JCT. RTE. 187, VENICE BLVD INTERCHANGE",326000,9128,2.8
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 10",303000,10484,3.46
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 10",331000,9268,2.8
405,07,LA,Los Angeles County,CA,USA,"LONG BEACH, LAKEWOOD BLVD INTERCHANGE",285000,12740,4.47
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 2",310000,10726,3.46
405,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 101",283000,9792,3.46
